part,reference product,activity,location,nacelle,rotor,other,transformer + cabinet,foundation,tower,platform,grid connector
moving,"electricity, medium voltage","market group for electricity, medium voltage",GLO,,,1.00,0.00,,,,
moving,"sheet rolling, chromium steel","market for sheet rolling, chromium steel",GLO,0.79,0.21,0.00,0.00,,,,
moving,"steel, chromium steel 18/8, hot rolled","market for steel, chromium steel 18/8, hot rolled",GLO,0.79,0.21,0.00,0.00,,,,
moving,"section bar rolling, steel","market for section bar rolling, steel",GLO,0.68,0.27,0.00,0.06,,,,
moving,"glass fibre reinforced plastic, polyamide, injection moulded","market for glass fibre reinforced plastic, polyamide, injection moulded",GLO,0.28,0.72,0.00,0.00,,,,
moving,cast iron,market for cast iron,GLO,0.51,0.43,0.00,0.06,,,,
moving,"steel, low-alloyed, hot rolled","market for steel, low-alloyed, hot rolled",GLO,0.95,0.00,0.00,0.05,,,,
moving,"copper, cathode","market for copper, cathode",GLO,0.62,0.00,0.00,0.38,,,,
moving,"wire drawing, copper","market for wire drawing, copper",GLO,0.62,0.00,0.00,0.38,,,,
moving,lubricating oil,market for lubricating oil,RoW,0.13,0.00,0.00,0.87,,,,
moving,"aluminium, wrought alloy","market for aluminium, wrought alloy",GLO,1.00,0.00,0.00,0.00,,,,
moving,"sheet rolling, aluminium","market for sheet rolling, aluminium",GLO,1.00,0.00,0.00,0.00,,,,
moving,lubricating oil,market for lubricating oil,RER,0.13,0.00,0.00,0.87,,,,
moving,synthetic rubber,market for synthetic rubber,GLO,1.00,0.00,0.00,0.00,,,,
moving,"polyethylene, high density, granulate","market for polyethylene, high density, granulate",GLO,0.00,0.00,0.00,1.00,,,,
moving,"polyvinylchloride, bulk polymerised","market for polyvinylchloride, bulk polymerised",GLO,0.00,0.00,0.00,1.00,,,,
moving,lead,market for lead,GLO,0.00,0.00,0.00,1.00,,,,
moving,tin,market for tin,GLO,0.00,0.00,0.00,1.00,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,CY,0.00,0.00,0.00,1.00,,,,
moving,waste polyethylene,market for waste polyethylene,CY,0.00,0.00,0.00,1.00,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,PE,0.00,0.00,0.00,1.00,,,,
moving,waste polyethylene,market for waste polyethylene,PE,0.00,0.00,0.00,1.00,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,ZA,0.00,0.00,0.00,1.00,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,IN,0.00,0.00,0.00,1.00,,,,
moving,waste polyethylene,market for waste polyethylene,ZA,0.00,0.00,0.00,1.00,,,,
moving,waste polyethylene,market for waste polyethylene,IN,0.00,0.00,0.00,1.00,,,,
